iter	Passed	Remaining
1765	4463783	7716834
1766	4466449	7714547
1767	4468631	7711423
1768	4470998	7708617
1769	4473254	7705622
1770	4475594	7702772
1771	4478066	7700151
1772	4480491	7697448
1773	4482693	7694363
1774	4484863	7691224
1775	4487555	7688981
1776	4489773	7685926
1777	4492175	7683186
1778	4494375	7680102
1779	4496844	7677478
1780	4499166	7674603
1781	4501430	7671629
1782	4503543	7668400
1783	4505993	7665744
1784	4508174	7662633
1785	4510450	7659683
1786	4512641	7656590
1787	4514950	7653700
1788	4517019	7650402
1789	4519451	7647719
1790	4521729	7644777
1791	4524466	7642610
1792	4526689	7639577
1793	4529039	7636758
1794	4531411	7633977
1795	4533736	7631117
1796	4535952	7628074
1797	4538732	7625979
1798	4541322	7623565
1799	4543986	7621275
1800	4546631	7618952
1801	4549349	7616752
1802	4551910	7614289
1803	4554319	7611571
1804	4556779	7608937
1805	4559272	7606360
1806	4561636	7603569
1807	4564012	7600798
1808	4566691	7598530
1809	4569015	7595672
1810	4571329	7592798
1811	4573614	7589878
1812	4575969	7587072
1813	4578244	7584137
1814	4580510	7581186
1815	4582877	7578403
1816	4585076	7575343
1817	4588287	7573955
1818	4590770	7571364
1819	4593726	7569553
1820	4596991	7568247
1821	4599834	7566248
1822	4602368	7563738
1823	4604729	7560945
1824	4607143	7558239
1825	4609400	7555276
1826	4611699	7552383
1827	4614237	7549881
1828	4616482	7546901
1829	4618767	7543986
1830	4621168	7541262
1831	4623488	7538405
1832	4625612	7535231
1833	4627952	7532409
1834	4630250	7529519
1835	4632801	7527041
1836	4635161	7524252
1837	4637574	7521549
1838	4639959	7518803
1839	4642409	7516161
1840	4644491	7512924
1841	4647004	7510387
1842	4649557	7507911
1843	4651805	7504946
1844	4653922	7501769
1845	4656119	7498722
1846	4658250	7495571
1847	4660616	7492797
1848	4663354	7490622
1849	4665773	7487935
1850	4668139	7485164
1851	4670335	7482120
1852	4672639	7479249
1853	4675117	7476658
1854	4677401	7473757
1855	4679510	7470576
1856	4681980	7467972
1857	4684331	7465181
1858	4686625	7462297
1859	4689251	7459943
1860	4692529	7458624
1861	4695712	7457155
1862	4699241	7456231
1863	4702079	7454209
1864	4704433	7451418
1865	4707232	7449333
1866	4710139	7447419
1867	4713152	7445671
1868	4716198	7443973
1869	4718622	7441293
1870	4720890	7438366
1871	4723218	7435536
1872	4725551	7432714
1873	4728055	7430162
1874	4730958	7428235
1875	4733975	7426486
1876	4736402	7423812
1877	4738844	7421161
1878	4741404	7418696
1879	4743962	7416226
1880	4746440	7413631
1881	4749135	7411376
1882	4751391	7408436
1883	4753775	7405695
1884	4756305	7403182
1885	4758625	7400344
1886	4760988	7397572
1887	4763457	7394964
1888	4765876	7392281
1889	4768125	7389332
1890	4770792	7387034
1891	4773075	7384138
1892	4775356	7381242
1893	4777641	7378354
1894	4779857	7375358
1895	4782104	7372410
1896	4784388	7369522
1897	4786748	7366750
1898	4789228	7364163
1899	4791619	7361441
1900	4793931	7358597
1901	4796356	7355925
1902	4798474	7352785
1903	4800579	7349625
1904	4802734	7346545
1905	4805036	7343689
1906	4807183	7340596
1907	4809638	7337976
1908	4812058	7335301
1909	4814159	7332140
1910	4817000	7330108
1911	4819314	7327273
1912	4821513	7324264
1913	4823713	7321257
1914	4825883	7318205
1915	4828077	7315193
1916	4830271	7312179
1917	4832451	7309146
1918	4834667	7306167
1919	4836773	7303024
1920	4838957	7299999
1921	4841331	7297261
1922	4843844	7294733
1923	4846292	7292108
1924	4848628	7289314
1925	4850909	7286439
1926	4853444	7283945
1927	4855672	7280989
1928	4858501	7278936
1929	4860879	7276207
1930	4863137	7273299
1931	4865416	7270422
1932	4867644	7267471
1933	4870012	7264728
1934	4872225	7261755
1935	4874583	7258999
1936	4876756	7255969
1937	4878888	7252877
1938	4881324	7250239
1939	4883572	7247322
1940	4886378	7245232
1941	4888529	7242172
1942	4890954	7239518
1943	4893280	7236718
1944	4895593	7233899
1945	4898041	7231280
1946	4900265	7228332
1947	4902570	7225502
1948	4904972	7222817
1949	4907376	7220135
1950	4909398	7216891
1951	4911529	7213808
1952	4914073	7211334
1953	4916363	7208486
1954	4918801	7205855
1955	4921154	7203101
1956	4923444	7200254
1957	4925721	7197389
1958	4928191	7194808
1959	4930526	7192028
1960	4932790	7189146
1961	4935141	7186390
1962	4937258	7183295
1963	4939383	7180213
1964	4941849	7177627
1965	4944477	7175276
1966	4946664	7172286
1967	4948957	7169450
1968	4951292	7166675
1969	4953524	7163752
1970	4955743	7160810
1971	4958184	7158189
1972	4960342	7155161
1973	4962753	7152498
1974	4965163	7149835
1975	4967408	7146934
1976	4969746	7144168
1977	4972545	7142062
1978	4975314	7139915
1979	4978035	7137698
1980	4980929	7135728
1981	4983683	7133557
1982	4986447	7131399
1983	4988945	7128861
1984	4991405	7126268
1985	4993773	7123544
1986	4996297	7121044
1987	4998855	7118590
1988	5001068	7115647
1989	5003272	7112692
1990	5005697	7110051
1991	5008031	7107281
1992	5010226	7104315
1993	5012754	7101821
1994	5015092	7099058
1995	5017213	7095989
1996	5019909	7093733
1997	5022390	7091173
1998	5024953	7088728
1999	5027188	7085821
2000	5029420	7082912
2001	5031934	7080399
2002	5034433	7077866
2003	5036598	7074862
2004	5039285	7072593
2005	5041669	7069898
2006	5043976	7067095
2007	5046250	7064247
2008	5048825	7061820
2009	5051118	7059001
2010	5053402	7056168
2011	5055780	7053467
2012	5058095	7050679
2013	5060466	7047968
2014	5064062	7046963
2015	5066730	7044665
2016	5070089	7043327
2017	5072511	7040686
2018	5075125	7038311
2019	5077558	7035686
2020	5080112	7033228
2021	5082700	7030817
2022	5085198	7028282
2023	5089062	7027633
2024	5092627	7026568
2025	5095413	7024426
2026	5097887	7021855
2027	5100533	7019521
2028	5103170	7017173
2029	5105762	7014764
2030	5108293	7012270
2031	5110993	7010009
2032	5113442	7007402
2033	5116482	7005606
2034	5118819	7002847
2035	5121850	7001036
2036	5125836	7000528
2037	5128386	6998058
2038	5130752	6995337
2039	5133474	6993101
2040	5135807	6990334
2041	5138335	6987834
2042	5142026	6986914
2043	5145527	6985733
2044	5148439	6983751
2045	5151579	6982077
2046	5153621	6978914
2047	5155880	6976046
2048	5158288	6973381
2049	5160738	6970772
2050	5163015	6967930
2051	5165420	6965262
2052	5168732	6963815
2053	5171665	6961856
2054	5174096	6959222
2055	5176159	6956094
2056	5179368	6954504
2057	5182179	6952380
2058	5184774	6949964
2059	5187394	6947582
2060	5189571	6944608
2061	5191834	6941749
2062	5194123	6938926
2063	5196469	6936178
2064	5198672	6933242
2065	5200946	6930399
2066	5203180	6927504
2067	5205617	6924880
2068	5208062	6922267
2069	5210473	6919608
2070	5213188	6917354
2071	5215430	6914473
2072	5217723	6911659
2073	5220360	6909300
2074	5222705	6906556
2075	5225171	6903972
2076	5227732	6901513
2077	5230691	6899579
2078	5232978	6896758
2079	5236026	6894940
2080	5238291	6892090
2081	5240724	6889463
2082	5243214	6886910
2083	5245456	6884032
2084	5247775	6881255
2085	5250032	6878398
2086	5252264	6875508
2087	5254547	6872686
2088	5256724	6869726
2089	5258983	6866873
2090	5261339	6864148
2091	5263980	6861794
2092	5266227	6858927
2093	5268399	6855964
2094	5270713	6853185
2095	5272844	6850169
2096	5275073	6847281
2097	5277263	6844343
2098	5279586	6841578
2099	5281626	6838448
2100	5284017	6835773
2101	5286654	6833415
2102	5289130	6830850
2103	5291480	6828122
2104	5293966	6825570
2105	5296499	6823078
2106	5299254	6820872
2107	5301555	6818082
2108	5303871	6815311
2109	5306291	6812675
2110	5308761	6810101
2111	5311194	6807482
2112	5313595	6804822
2113	5316028	6802203
2114	5318426	6799539
2115	5320719	6796741
2116	5323059	6794004
2117	5325360	6791217
2118	5328491	6789488
2119	5331147	6787154
2120	5333868	6784902
2121	5336636	6782708
2122	5339427	6780545
2123	5341719	6777747
2124	5344298	6775313
2125	5346988	6773019
2126	5349355	6770316
2127	5351734	6767630
2128	5353945	6764731
2129	5356173	6761855
2130	5358803	6759485
2131	5361469	6757161
2132	5363728	6754325
2133	5365987	6751488
2134	5368130	6748506
2135	5370491	6745799
2136	5372606	6742784
2137	5374880	6739969
2138	5377258	6737285
2139	5379430	6734342
2140	5381757	6731596
2141	5383953	6728684
2142	5386355	6726032
2143	5388535	6723102
2144	5390680	6720130
2145	5393069	6717462
2146	5395240	6714523
2147	5397621	6711846
2148	5400200	6709416
2149	5402651	6706826
2150	5405112	6704249
2151	5407300	6701333
2152	5409683	6698660
2153	5411927	6695815
2154	5414218	6693029
2155	5416664	6690434
2156	5419037	6687750
2157	5421178	6684780
2158	5423566	6682114
2159	5426008	6679517
2160	5428599	6677101
2161	5430712	6674099
2162	5433163	6671512
2163	5435477	6668757
2164	5437999	6666259
2165	5440391	6663600
2166	5442874	6661053
2167	5445145	6658247
2168	5447650	6655728
2169	5449928	6652931
2170	5452481	6650470
2171	5454780	6647699
2172	5456930	6644748
2173	5459203	6641947
2174	5461669	6639381
2175	5463925	6636560
2176	5466090	6633629
2177	5468647	6631174
2178	5470904	6628356
2179	5473081	6625441
2180	5475319	6622601
2181	5477720	6619958
2182	5479974	6617137
2183	5482549	6614705
2184	5484901	6612004
2185	5487594	6609715
2186	5489982	6607056
2187	5492399	6604434
2188	5494988	6602018
2189	5497592	6599621
2190	5500420	6597491
2191	5502663	6594661
2192	5504949	6591882
2193	5507570	6589504
2194	5509939	6586824
2195	5512419	6584278
2196	5514677	6581467
2197	5516923	6578642
2198	5519153	6575798
2199	5521620	6573237
2200	5523842	6570386
2201	5526029	6567492
2202	5528331	6564737
2203	5530760	6562132
2204	5533179	6559515
2205	5535467	6556743
2206	5537810	6554037
2207	5540554	6551805
2208	5543079	6549315
2209	5546938	6548399
2210	5549813	6546320
2211	5553112	6544739
2212	5556532	6543300
2213	5559556	6541393
2214	5562384	6539255
2215	5564722	6536540
2216	5566979	6533730
2217	5569556	6531296
2218	5571851	6528533
2219	5575945	6527874
2220	5580921	6528245
2221	5585226	6527828
2222	5589095	6526896
2223	5592221	6525096
2224	5596192	6524280
2225	5599822	6523063
2226	5602624	6520880
2227	5605048	6518258
